Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions,image_src
HP,"17.3"" HD+ Laptop - AMD Ryzen 3 7320U - 8GB Memory - 256GB SSD",17-cp2033dx,AMD,AMD Ryzen 3 7000 Series,SSD,Windows 11 Home,1600 x 900 (HD+),4.7,11.5,"(1,180 Reviews)",137.99,No,2024-12-05 04:30:40,https://www.bestbuy.com/site/hp-17-3-hd-laptop-amd-ryzen-3-7320u-8gb-memory-256gb-ssd-natural-silver/6554443.p?skuId=6554443,BestBuy,256,8,17.3,4.58,0.78 x 15.78 x 10.15 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/12d847bb-b707-42dd-b18a-ebd1f29132bd.jpg;maxHeight=640;maxWidth=550;format=webp
Lenovo,"Refurbished Lenovo Thinkpad L14 G3 14"" Touch Laptop Ryzen 5 PRO 5675U 16GB 512GB SSD W11H",21C6X01200,AMD,AMD Ryzen 5 5000 Series PRO,SSD,Windows 11 Home,1366 x 768 (HD),,,Be the first to write a review,349.99,No,2024-12-05 04:30:46,https://www.bestbuy.com/site/refurbished-lenovo-thinkpad-l14-g3-14-touch-laptop-ryzen-5-pro-5675u-16gb-512gb-ssd-w11h-black/6607675.p?skuId=6607675,BestBuy,512,16,14.0,5.06,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/f64024a8-5f61-49c4-92c3-b2c58bf9e186.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"HP Elitebook 745 G6 Laptop, AMD Ryzen 5 Pro 3500U 2.10GHZ, 16GB RAM, 256GB SSD Windows 10 Pro-64- Refurbished",HP.745G6.R5P.3500U.16.256.W10P,AMD,AMD Ryzen 5 3000 series PRO,SSD,Windows 10 Pro,1920 x 1080 (Full HD),3.3,,(3 Reviews),239.0,No,2024-12-05 04:30:53,https://www.bestbuy.com/site/hp-elitebook-745-g6-laptop-amd-ryzen-5-pro-3500u-2-10ghz-16gb-ram-256gb-ssd-windows-10-pro-64-refurbished-silver/6598981.p?skuId=6598981,BestBuy,256,16,14.0,3.31,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/583713c1-137d-40bd-94ae-98a3c08af6d9.jpg;maxHeight=640;maxWidth=550;format=webp
Dell,"Latitude 7400 Refurbished Laptop - Intel i5-8365U 16GB RAM, 256GB SSD Windows 10 Pro",DL.7400.I5.8365U.16.256.W10P,Intel,Intel 8th Generation Core i5,SSD,Windows 10 Pro,1920 x 1080 (Full HD),,,Be the first to write a review,254.99,No,2024-12-05 04:30:59,https://www.bestbuy.com/site/dell-latitude-7400-refurbished-laptop-intel-i5-8365u-16gb-ram-256gb-ssd-windows-10-pro-gray/6599005.p?skuId=6599005,BestBuy,256,16,14.0,3.6,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5b1e3ef9-51ec-461c-9c77-faf62f9f0c38.jpg;maxHeight=640;maxWidth=550;format=webp
Microsoft,GSRF Surface Laptop 5 – 15” Touch Screen – Intel Evo Platform Core i7 – 32GB Memory – 1TB SSD,GSRF RKL-00001,Intel,Intel 12th Generation Core i7 Evo Platform,SSD,Windows 11 Home,2256 x 1504,,17.0,Be the first to write a review,1519.99,No,2024-12-05 04:31:05,https://www.bestbuy.com/site/microsoft-gsrf-surface-laptop-5-15-touch-screen-intel-evo-platform-core-i7-32gb-memory-1tb-ssd-black/6561509.p?skuId=6561509,BestBuy,1000,32,15.0,3.44,0.58 x 13.4 x 9.6 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6517/6517646_sd.jpg;maxHeight=640;maxWidth=550;format=webp
HP,"HP Zbook 15U G5 Laptop, Intel i7-8650U 1.90GHz, 32GB RAM, 512GB SSD  Windows 10 Pro-64 - Refurbished",HP.15UG5.I7.8650U.32.512.W10P,Intel,Intel 8th Generation Core i7,SSD,Windows 10 Pro,1920 x 1080 (Full HD),,,Be the first to write a review,389.99,No,2024-12-05 04:31:11,https://www.bestbuy.com/site/hp-zbook-15u-g5-laptop-intel-i7-8650u-1-90ghz-32gb-ram-512gb-ssd-windows-10-pro-64-refurbished-gray/6598987.p?skuId=6598987,BestBuy,512,32,15.6,3.9,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3ccccd95-f81d-433a-bed3-f2f7b599dde3.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,"Geek Squad Certified Refurbished MacBook Pro with Retina display - 13.3"" Display - 8GB Memory - 256GB Flash Storage",3PL GSRF MF840LL/A,Intel,Intel 5th Generation Core i5,UFS,Mac OS,2560 x 1600 (Retina),,,Be the first to write a review,189.99,No,2024-12-05 04:31:18,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-with-retina-display-13-3-display-8gb-memory-256gb-flash-storage-silver/6549302.p?skuId=6549302,BestBuy,256,8,13.3,3.48,0.71 x 12.35 x 8.62 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6549/6549302_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Apple,"Geek Squad Certified Refurbished MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage",GSRF MPTT2LL/A,Intel,Intel 7th Generation Core i7,SSD,Mac OS,2880 x 1800 (Retina),4.2,10.0,(18 Reviews),499.99,No,2024-12-05 04:31:25,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-15-display-intel-core-i7-16-gb-memory-512gb-flash-storage-space-gray/6530208.p?skuId=6530208,BestBuy,512,16,15.4,4.02,0.61 x 13.75 x 9.48 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6530/6530208_sd.jpg;maxHeight=640;maxWidth=550;format=webp
Microsoft,Refurbished Surface Pro 8 – 13” Touch Screen – Intel Evo platform Core i7 – 16GB Memory – 256GB SSD – Device Only,GSRF 8PV-00017,Intel,Intel 11th Gen Core i7-1185G7,SSD,Windows 11 Home,2880 x 1920,,16.0,Be the first to write a review,719.99,No,2024-12-05 04:31:31,https://www.bestbuy.com/site/microsoft-refurbished-surface-pro-8-13-touch-screen-intel-evo-platform-core-i7-16gb-memory-256gb-ssd-device-only-graphite/6582954.p?skuId=6582954,BestBuy,256,16,13.0,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e22ea371-1ede-4488-af66-abb9396d9786.jpg;maxHeight=640;maxWidth=550;format=webp
Microsoft,GSRF Surface Laptop Studio – 14.4” Touch Screen – Intel Core i7 -32GB Memory – NVIDIA GeForce RTX 3050 Ti - 2TB SSD,GSRF AI2-00001,Intel,Intel 11th Generation Core i7,SSD,Windows 11 Home,2400 x 1600,3.5,18.0,(2 Reviews),1499.99,No,2024-12-05 04:31:38,https://www.bestbuy.com/site/microsoft-gsrf-surface-laptop-studio-14-4-touch-screen-intel-core-i7-32gb-memory-nvidia-geforce-rtx-3050-ti-2tb-ssd-platinum/6561068.p?skuId=6561068,BestBuy,2000,32,14.4,4.0,0.74 x 12.72 x 8.98 inches,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6478/6478306cv11d.jpg;maxHeight=640;maxWidth=550;format=webp
