Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Storage_Capacity(GB),Operating_System,Display_Size(Inches),Display_Resolution,Extracted_Rating,Laptop_Dimensions,Stock,Time_Of_Extraction,URL,Source,Laptop_Weight(Pounds),RAM(GB),Battery_Life(Hours_Upto),Price,No_Of_Reviews
ASUS,X1502ZA-EJ953WS,X1502ZA-EJ953WS,Intel,Core i3,SSD,2048,Windows 11 Home,15.6,1920 x 1080 Pixel,4.3,,Yes,2024-11-04 17:15:01,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej953ws-thin-light-laptop/p/itm3b11f9400fcd8?pid=COMGZKHQ8BXZFBUT&lid=LSTCOMGZKHQ8BXZFBUTEXWMPL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_838&otracker=browse&fm=organic&iid=en_3v61T5H3TzXp_lpFH0cPxDYPTbmi1tvtzr0Qm8X8OPnTCTLCjRG-8W9PPmmR5yC7Bx5VofyJluWs5j7gSTuAwaV8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,8,,383.88,8030.0
HP,15-fa1312TX,15-fa1312TX,Intel,Core i5,SSD,512,Windows 11 Pro,,1920 x 1080 Pixels,4.1,,Yes,2024-11-04 17:15:05,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-pro-4-graphics-nvidia-geforce-rtx-2050-15-fa1312tx-gaming-laptop/p/itm4a41c1fe635bf?pid=COMHY8KVCDNXVZH4&lid=LSTCOMHY8KVCDNXVZH4QWOMKK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_839&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMHY8KVCDNXVZH4.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,,8,6.0,695.76,172.0
Lenovo,15IRH8,15IRH8,Intel,Core i7,SSD,512,Windows 11 Home,15.6,1920x1080 Pixel,3.6,14.26 x 9.98 x 0.78 inches,Yes,2024-11-04 17:15:08,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i7-13th-gen-core-i7-13620h-10c-6p-4e-16t-p-core-2-4-4-9ghz-e-core-1-8-3-6ghz-16-gb-512-gb-ssd-windows-11-home-15irh8-thin-light-laptop/p/itmc6a0fbc4e3bee?pid=COMH27TZK9PRGZYZ&lid=LSTCOMH27TZK9PRGZYZLGZZFI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_35_840&otracker=browse&fm=organic&iid=c2075d8a-0ea0-4fb7-afba-ee5c6cf3f10a.COMH27TZK9PRGZYZ.SEARCH&ppt=None&ppn=None&ssid=h4qvdo1vu80000001730660407567,Flipkart,3.75,16,5.0,767.99,
Lenovo,ThinkBook 16 G6,ThinkBook 16 G6 IRL 5,Intel,Core i3,SSD,512,Windows 11 Home,16.0,1920 x 1200 Pixel,4.3,14.02 x 9.98 x 0.69 inches,Yes,2024-11-04 17:15:12,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_841&otracker=browse&fm=organic&iid=en_kwPuXzPDRsPDFrX1FKHx40d_3Wmv1bLwJ1NcF1M4owq0imLwUSoxcdSFbj-FvBSprrVIu9bqQb_Gq2f4RMlc6PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,3.75,8,9.15,455.88,150.0
Acer,A325-42,A325-42,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.2 x 9.97 x 0.76 inches,Yes,2024-11-04 17:15:15,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmd22baec179aa3?pid=COMH397XW36HUXB8&lid=LSTCOMH397XW36HUXB8LCSOPU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_842&otracker=browse&fm=organic&iid=en_kwPuXzPDRsPDFrX1FKHx40d_3Wmv1bLwJ1NcF1M4owpxiRNHqp96wzq2M4BSEtQ_bs89Rv7vI75ocTe1970S_PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,3.95,16,,443.88,733.0
Lenovo,Ideapad Slim 5i,83BF0043IN,Intel,Core i5,SSD,2048,Windows 11 Home,,1920 x 1200 pixel,4.0,,Yes,2024-11-04 17:15:18,https://www.flipkart.com/lenovo-intel-core-i5-12th-gen-12450h-16-gb-1-tb-ssd-windows-11-home-83bf0043in-thin-light-laptop/p/itmc73fc90979956?pid=COMGVKM7XDSGRVYT&lid=LSTCOMGVKM7XDSGRVYTTIPSQQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_843&otracker=browse&fm=organic&iid=fecee960-1890-4fd0-b5db-de88792a7979.COMGVKM7XDSGRVYT.SEARCH&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,,16,,708.0,4.0
DELL,Inspiron 14,IC7430JR4VY001ORS1,Intel,Core i7,SSD,2048,Windows 11 Home,,1920 x 1200 pixel,3.7,,Yes,2024-11-04 17:15:21,https://www.flipkart.com/dell-inspiron-14-7430-intel-core-i7-13th-gen-1355u-16-gb-1-tb-ssd-windows-11-home-ic7430jr4vy001ors1-2-1-laptop/p/itmc2bab0da02e47?pid=COMGYDZFRNHQ2GUY&lid=LSTCOMGYDZFRNHQ2GUYXV2DKU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_844&otracker=browse&fm=organic&iid=fecee960-1890-4fd0-b5db-de88792a7979.COMGYDZFRNHQ2GUY.SEARCH&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,,16,,1307.88,
DELL,Inspiron 3535,Inspiron 3535,AMD,Ryzen 3 Quad Core,SSD,512,Windows 11 Home,15.6,1920 X 1080 Pixel,4.6,,Yes,2024-11-04 17:15:24,https://www.flipkart.com/dell-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-inspiron-3535-thin-light-laptop/p/itmd49154cb208e2?pid=COMGWFY5HAXQ5TPD&lid=LSTCOMGWFY5HAXQ5TPDD9IPM4&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_845&otracker=browse&fm=organic&iid=fecee960-1890-4fd0-b5db-de88792a7979.COMGWFY5HAXQ5TPD.SEARCH&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,3.68,8,,407.88,7.0
MSI,Commercial 14 H A13MG-064IN,Commercial 14 H A13MG-064IN,Intel,Core i5,SSD,512,Windows 11 Pro,14.0,1920 x 1200 Pixel,4.2,12.35 x 9.29 x 0.73 inches,Yes,2024-11-04 17:15:28,https://www.flipkart.com/msi-commercial-14-h-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-pro-a13mg-064in-business-laptop/p/itm810ea85e8bfea?pid=COMGYSFG2KNNQY9H&lid=LSTCOMGYSFG2KNNQY9HLGGQXY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_846&otracker=browse&fm=organic&iid=fecee960-1890-4fd0-b5db-de88792a7979.COMGYSFG2KNNQY9H.SEARCH&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,3.53,16,,1055.88,
ASUS,E1504FA-LK323WS,E1504FA-LK323WS,AMD,Ryzen 3 Quad Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.4,14.19 x 9.15 x 0.7 inches,Yes,2024-11-04 17:15:31,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk323ws-thin-light-laptop/p/itm5d8313766fc6f?pid=COMGMGXFGF7ZTKHF&lid=LSTCOMGMGXFGF7ZTKHFBG8NVU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_36_847&otracker=browse&fm=organic&iid=en_kwPuXzPDRsPDFrX1FKHx40d_3Wmv1bLwJ1NcF1M4owoG4BgwDEUcsUjNprt98aiePBv4_Evxs4NqFuFiGR1sZPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=vddni65fk00000001730660411199,Flipkart,3.59,8,,443.88,2970.0
