Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Storage_Capacity(GB),Operating_System,Display_Size(Inches),Display_Resolution,Extracted_Rating,Laptop_Dimensions,Stock,Time_Of_Extraction,URL,Source,Laptop_Weight(Pounds),RAM(GB),Battery_Life(Hours_Upto),Price,No_Of_Reviews
Acer,ANV15-41,ANV15-41,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.3,14.26 x 9.44 x 0.93 inches,Yes,2024-11-04 16:35:23,https://www.flipkart.com/acer-nitro-v-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-anv15-41-gaming-laptop/p/itm6491e522f1157?pid=COMGZN7ZYP8MDPHR&lid=LSTCOMGZN7ZYP8MDPHRDVIR0H&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_115&otracker=browse&fm=organic&iid=58f95db1-1451-4381-830c-6debe783bacc.COMGZN7ZYP8MDPHR.SEARCH&ppt=None&ppn=None&ssid=4m2qu00qao0000001730660235557,Flipkart,4.63,16,,731.88,204.0
Acer,SFG14-41,SFG14-41,AMD,Ryzen 7 Octa Core,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,4.3,12.67 x 8.34 x 0.63 inches,Yes,2024-11-04 16:35:28,https://www.flipkart.com/acer-swift-go-14-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-thin-light-laptop/p/itm8c24ada29d398?pid=COMH3GFNZZGQTAEW&lid=LSTCOMH3GFNZZGQTAEWMUOVHC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_116&otracker=browse&fm=organic&iid=58f95db1-1451-4381-830c-6debe783bacc.COMH3GFNZZGQTAEW.SEARCH&ppt=None&ppn=None&ssid=4m2qu00qao0000001730660235557,Flipkart,2.76,16,,539.88,239.0
Acer,A325-42,A325-42,AMD,Ryzen 7 Octa Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.0,14.2 x 9.97 x 0.76 inches,Yes,2024-11-04 16:35:32,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itm6a54d6bcece15?pid=COMH397XPF4Z3BMX&lid=LSTCOMH397XPF4Z3BMXL8O53G&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_117&otracker=browse&fm=organic&iid=58f95db1-1451-4381-830c-6debe783bacc.COMH397XPF4Z3BMX.SEARCH&ppt=None&ppn=None&ssid=4m2qu00qao0000001730660235557,Flipkart,3.95,16,,515.88,221.0
MSI,Cyborg 15 AI A1VFK-049IN,Cyborg 15 AI A1VFK-049IN,Intel,Core Ultra 7,SSD,2048,Windows 11 Home,15.6,1920 X 1080 Pixel,4.3,14.15 x 9.86 x 0.9 inches,Yes,2024-11-04 16:35:40,https://www.flipkart.com/msi-cyborg-15-ai-pc-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-a1vfk-049in-gaming-laptop/p/itm616928dbede92?pid=COMGXMSXSDAYPQ3Y&lid=LSTCOMGXMSXSDAYPQ3YUQQLEJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_118&otracker=browse&fm=organic&iid=58f95db1-1451-4381-830c-6debe783bacc.COMGXMSXSDAYPQ3Y.SEARCH&ppt=None&ppn=None&ssid=4m2qu00qao0000001730660235557,Flipkart,4.19,16,,1199.88,6.0
HP,15-fa1226TX,15-fa1226TX,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1080 Pixels,4.4,,Yes,2024-11-04 16:35:44,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15-fa1226tx-gaming-laptop/p/itma50f4630abc9a?pid=COMHY8KVEKZVERUA&lid=LSTCOMHY8KVEKZVERUADILR5M&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_119&otracker=browse&fm=organic&iid=58f95db1-1451-4381-830c-6debe783bacc.COMHY8KVEKZVERUA.SEARCH&ppt=None&ppn=None&ssid=4m2qu00qao0000001730660235557,Flipkart,5.07,8,6.0,671.88,2105.0
HP,15s-fq5112TU,15s-fq5112TU,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1080 Pixel,4.1,14.09 x 9.53 x 0.7 inches,Yes,2024-11-04 16:35:48,https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5112tu-thin-light-laptop/p/itmafa17a199da31?pid=COMGG63HWNMXZKDF&lid=LSTCOMGG63HWNMXZKDFXSKRQF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_120&otracker=browse&fm=organic&iid=58f95db1-1451-4381-830c-6debe783bacc.COMGG63HWNMXZKDF.SEARCH&ppt=None&ppn=None&ssid=4m2qu00qao0000001730660235557,Flipkart,3.73,16,,596.52,455.0
ASUS,S3402ZA-KM501WS,S3402ZA-KM501WS,Intel,Core i5,SSD,512,Windows 11 Home,14.0,2880 x 1800 Pixels,4.4,12.46 x 8.84 x 0.74 inches,Yes,2024-11-04 16:35:53,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km501ws-thin-light-laptop/p/itm635eb6df61d1c?pid=COMGCG2GXUAAMYJF&lid=LSTCOMGCG2GXUAAMYJFOJKKYY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_121&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8lZ05qFj0frnri6ZnO8MU5-a-gR24cMj8STGHW9Vj_vYk4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.31,16,,743.88,4489.0
ASUS,S3402ZA-LY522WS,S3402ZA-LY522WS,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1200 Pixel,4.3,,Yes,2024-11-04 16:35:57,https://www.flipkart.com/asus-vivobook-s-14-intel-evo-h-series-core-i5-12th-gen-12500h-8-gb-512-gb-ssd-windows-11-home-s3402za-ly522ws-thin-light-laptop/p/itm3158ed9290840?pid=COMGNY4VWHZKRSHT&lid=LSTCOMGNY4VWHZKRSHTLHINGA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_122&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8kEa36IFC9dLtPwSD0R4fxP9Wy-xiq_iFsaDu41TzXmfYQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.31,8,,755.88,2140.0
HP,Laptop,15s-fq5329TU,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1200 pixel,4.1,14.09 x 9.53 x 0.7 inches,Yes,2024-11-04 16:36:02,https://www.flipkart.com/hp-laptop-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fq5329tu-thin-light/p/itm7d7024d1947e9?pid=COMGYZVFY8MFJ8QA&lid=LSTCOMGYZVFY8MFJ8QAM0UN74&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_123&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMGYZVFY8MFJ8QA.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,,8,,563.88,134.0
Acer,SFG14-41,SFG14-41,AMD,Ryzen 7 Octa Core,SSD,2048,Windows 11 Home,14.0,1920 x 1080 Pixel,4.3,12.67 x 8.34 x 0.63 inches,Yes,2024-11-04 16:36:07,https://www.flipkart.com/acer-swift-go-14-amd-ryzen-7-octa-core-7730u-16-gb-1-tb-ssd-windows-11-home-sfg14-41-thin-light-laptop/p/itm8afd5eeca7e3b?pid=COMH3GFNEFQMQJHV&lid=LSTCOMH3GFNEFQMQJHVV7GSRK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_125&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMH3GFNEFQMQJHV.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,2.76,16,,719.88,239.0
DELL,Vostro 3520,Vostro 3520,Intel,Core i3,SSD,512,Windows 11 Home,,1920 x 1080 Pixels,4.1,14.09 x 9.25 x 0.74 inches,Yes,2024-11-04 16:36:12,https://www.flipkart.com/dell-vostro-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm5d692e615c97e?pid=COMH2F22XWP7DQFM&lid=LSTCOMH2F22XWP7DQFMZIEMAE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_126&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMH2F22XWP7DQFM.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,,8,,383.88,168.0
Acer,A325-42,A325-42,AMD,Ryzen 3 Quad Core,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.1,14.2 x 9.97 x 0.76 inches,Yes,2024-11-04 16:36:15,https://www.flipkart.com/acer-aspire-3-amd-ryzen-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397X2KJ8XCHR&lid=LSTCOMH397X2KJ8XCHRBDEAS1&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_127&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8n9FBYCP2O-7q1sq69FFMF0_phr_QPy3TJIIU9aumuUnvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.95,8,,359.88,90.0
HP,15s-fy5003TU,15s-fy5003TU,Intel,Core i3,SSD,512,Windows 11 Home,,1920 x 1080 Pixel,4.3,,Yes,2024-11-04 16:36:20,https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itmbb21e864fb30c?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_128&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8mJuktafDYL5c875I0rY6ZqmPxbJh9oxDF02GBMfRM3ZQ%3D%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.73,8,,455.88,5515.0
DELL,Inspiron 3530,Inspiron 3530,Intel,Core i5,SSD,2048,Windows 11 Home,15.6,1920 X 1080 Pixel,4.1,14.09 x 9.25 x 0.74 inches,Yes,2024-11-04 16:36:23,https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-3530-thin-light-laptop/p/itm28513a00c1a3a?pid=COMGTQXEPE3ZKHN8&lid=LSTCOMGTQXEPE3ZKHN8JTULYV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_129&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMGTQXEPE3ZKHN8.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,,16,,718.8,393.0
Acer,A325-42,A325-42,AMD,Ryzen 7 Octa Core,SSD,2048,Windows 11 Home,15.6,1920 x 1080 Pixel,4.0,14.2 x 9.97 x 0.76 inches,Yes,2024-11-04 16:36:26,https://www.flipkart.com/acer-aspire-3-backlit-amd-ryzen-7-octa-core-7730u-16-gb-1-tb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itm2885fc401935e?pid=COMH397X5HZZ7GFT&lid=LSTCOMH397X5HZZ7GFTGSNYFH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_130&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMH397X5HZZ7GFT.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.95,16,,551.88,221.0
Lenovo,ThinkBook 16 G6,ThinkBook 16 G6 IRL 5,Intel,Core i3,SSD,512,Windows 11 Home,16.0,1920 x 1200 Pixel,4.3,14.02 x 9.98 x 0.69 inches,Yes,2024-11-04 16:36:29,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_131&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8n2sxFbsMbI2LDHVMMLfbOcz_8cF9HsOQSiLOd1Mkz5NvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.75,8,9.15,455.88,150.0
Acer,A324-51,A324-51,Intel,Core i3,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,3.9,12.67 x 8.13 x 0.76 inches,No,2024-11-04 16:36:32,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itmb1555a1a37c32?pid=COMHY24RZCQ5YRXG&lid=LSTCOMHY24RZCQ5YRXGDONXO7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_132&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8lpuBh8zq-tifqFpfi3OJfaPL7BNtKocMyH38-n4ALCFQ%3D%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.2,8,,383.88,29.0
HP,15s-fq5112TU,15s-fq5112TU,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1080 Pixel,4.1,14.09 x 9.53 x 0.7 inches,Yes,2024-11-04 16:36:35,https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5112tu-thin-light-laptop/p/itmafa17a199da31?pid=COMGG63HWNMXZKDF&lid=LSTCOMGG63HWNMXZKDFXSKRQF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_133&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMGG63HWNMXZKDF.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.73,16,,596.52,455.0
ASUS,S5504VA-MA541WS,S5504VA-MA541WS,Intel,Core i5,SSD,512,Windows 11 Home,,2880 x 1620 Pixel,4.6,14.15 x 9.03 x 0.7 inches,Yes,2024-11-04 16:36:39,https://www.flipkart.com/asus-vivobook-s-15-oled-intel-evo-h-series-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-s5504va-ma541ws-thin-light-laptop/p/itm8486d594ff56b?pid=COMHYWSWHTGX8BWG&lid=LSTCOMHYWSWHTGX8BWGUIGHE6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_134&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMHYWSWHTGX8BWG.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.75,16,,923.88,57.0
MSI,Modern 14 C12M-444IN,Modern 14 C12MO-444IN/ Modern 14 C12MO 1248IN,Intel,Core i3,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,4.3,12.59 x 8.78 x 0.76 inches,Yes,2024-11-04 16:36:42,https://www.flipkart.com/msi-modern-14-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-c12mo-444in-c12mo-1248in-thin-light-laptop/p/itmb2b3215d1cc9d?pid=COMGPXFYFJPWCQDY&lid=LSTCOMGPXFYFJPWCQDYUPVWCA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_135&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMGPXFYFJPWCQDY.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.09,16,,395.88,1313.0
Infinix,INBOOK Y4 Max Core i3,YL613,Intel,Core i3,SSD,512,Windows 11 Home,,1920 x 1200 Pixels,4.2,,Yes,2024-11-04 16:36:46,https://www.flipkart.com/infinix-y4-max-series-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmac98b9d6dc1d1?pid=COMGWWDHZZPZTGBF&lid=LSTCOMGWWDHZZPZTGBFDOBBF3&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_136&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMGWWDHZZPZTGBF.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,,16,,407.88,355.0
Acer,A324-51,A324-51,Intel,Core i3,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,4.2,12.67 x 8.13 x 0.76 inches,Yes,2024-11-04 16:36:49,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7452347fa2428?pid=COMHY24RJH2YXVPG&lid=LSTCOMHY24RJH2YXVPGTVAAXW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_137&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8mHV3fLsiJpZQ5KBF_hwkGhCM47U5jRINhY2hhe4vmUjA%3D%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.2,8,,335.88,2360.0
SAMSUNG,NP750XGJ-KG2IN / NP750XGJ-LG2IN,NP750XGJ-KG2IN / NP750XGJ-LG2IN,Intel,Core i5,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.5,,Yes,2024-11-04 16:36:52,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_138&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8krdDdk_lZfANxx1elsEhalgWSsc73UnRBEUEbFFzKm1A%3D%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.42,16,,767.88,3084.0
Lenovo,15IAX9,LOQ 15IAX9D1,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1080 Pixels,4.3,14.17 x 10.19 x 0.86 inches,Yes,2024-11-04 16:36:56,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-12-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15iax9d1-gaming-laptop/p/itm4a19730d181b4?pid=COMHY9Z86BTST9AG&lid=LSTCOMHY9Z86BTST9AGRWZEC9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_139&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMHY9Z86BTST9AG.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,,12,,719.88,261.0
Lenovo,14IAU7,14IAU7,Intel,Core i3,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,4.2,12.76 x 8.49 x 0.78 inches,Yes,2024-11-04 16:36:59,https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-14iau7-thin-light-laptop/p/itm6f32e928cf1c7?pid=COMHFYZ3GXFZKYNN&lid=LSTCOMHFYZ3GXFZKYNNGHX9ZY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_140&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMHFYZ3GXFZKYNN.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.15,16,,455.88,146.0
SAMSUNG,Galaxy Book2 Pro,NP930XED-KB3IN,Intel,Core i5,SSD,512,Windows 11 Home,13.3,1920 x 1080 Pixel,4.5,11.98 x 7.87 x 0.45 inches,Yes,2024-11-04 16:37:02,https://www.flipkart.com/samsung-galaxy-book2-pro-evo-amoled-intel-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-np930xed-kb3in-thin-light-laptop/p/itmadaca4430ea2a?pid=COMGQFHY5EXJSPZ4&lid=LSTCOMGQFHY5EXJSPZ4PHFJ32&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_141&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8l0VxD65V_yMIPvDDEg32pOqUM0Ca51BKpBEuJsTMyy3uI7uWi7bi3WLqk6JF-UYDE%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,1.92,16,,1115.88,1983.0
Acer,A324-51,A324-51,Intel,Core i5,SSD,512,Windows 11 Home,14.0,1920 x 1080 Pixel,4.0,12.67 x 8.13 x 0.76 inches,Yes,2024-11-04 16:37:06,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_142&otracker=browse&fm=organic&iid=en_qGlsQESEM9ZRmt1RWtFlh--CcjYLAg2pIMgg4vsSV8li0aYILLzRglxU46qcbR2I4zmof1zJ-79aK9zhO4gJSIE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.2,16,,419.88,1669.0
HP,15s-fy5010TU,15s-fy5010TU,Intel,Core i3,SSD,256,Windows 11 Home,,1920 x 1080 Pixels,4.3,14.11 x 9.53 x 0.7 inches,Yes,2024-11-04 16:37:09,https://www.flipkart.com/hp-laptop-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-15s-fy5010tu-thin-light/p/itm629a59dce098d?pid=COMHF6WAYQWPTFRS&lid=LSTCOMHF6WAYQWPTFRSK8OU9L&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_143&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMHF6WAYQWPTFRS.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,,8,7.0,431.88,5515.0
MSI,Modern 15 B12MO-816IN,Modern 15 B12MO-816IN,Intel,Core i7,SSD,512,Windows 11 Home,15.6,1920 x 1080 Pixel,4.2,14.13 x 9.49 x 0.78 inches,Yes,2024-11-04 16:37:12,https://www.flipkart.com/msi-modern-15-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-b12mo-816in-thin-light-laptop/p/itmc40038b099331?pid=COMGYSFGY9AXBJJN&lid=LSTCOMGYSFGY9AXBJJNKX7JO7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_6_144&otracker=browse&fm=organic&iid=04d0b0c3-5b92-4934-8937-de61debefd61.COMGYSFGY9AXBJJN.SEARCH&ppt=None&ppn=None&ssid=vvtx31w2340000001730660243250,Flipkart,3.75,16,,635.88,116.0
HP,16-af0056TU,16-af0056TU,Intel,Core Ultra 5,SSD,2048,Windows 11 Home,,1920 x 1200 Pixel,4.3,14.08 x 10.03 x 0.7 inches,Yes,2024-11-04 16:37:16,https://www.flipkart.com/hp-pavilion-intel-core-ultra-5-125u-16-gb-1-tb-ssd-windows-11-home-16-af0056tu-thin-light-laptop/p/itmb12a25b64f62b?pid=COMH4KYWQJYGZF2Z&lid=LSTCOMH4KYWQJYGZF2ZSWFIBP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_145&otracker=browse&fm=organic&iid=26b786c5-35d8-4d79-afed-13ec90cc7084.COMH4KYWQJYGZF2Z.SEARCH&ppt=None&ppn=None&ssid=r86wr8n6ps0000001730660249903,Flipkart,3.9,16,,923.88,48.0
HP,15s- eq2182AU,15s- eq2182AU,AMD,Ryzen 5 Hexa Core,SSD,512,Windows 11 Home,,1920 x 1080 pixel,4.3,14.09 x 9.53 x 0.7 inches,Yes,2024-11-04 16:37:19,https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm2f070129053ed?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_146&otracker=browse&fm=organic&iid=26b786c5-35d8-4d79-afed-13ec90cc7084.COMGFRHGDB9G3Z9C.SEARCH&ppt=None&ppn=None&ssid=r86wr8n6ps0000001730660249903,Flipkart,,16,,490.0,3028.0
ASUS,S3402ZA-KM501WS,S3402ZA-KM501WS,Intel,Core i5,SSD,512,Windows 11 Home,14.0,2880 x 1800 Pixels,4.4,12.46 x 8.84 x 0.74 inches,Yes,2024-11-04 16:37:22,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km501ws-thin-light-laptop/p/itm635eb6df61d1c?pid=COMGCG2GXUAAMYJF&lid=LSTCOMGCG2GXUAAMYJFOJKKYY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_147&otracker=browse&fm=organic&iid=en_i3wQrUhaK_OGAMYL5L2cv8buLu9xD7V7RrOkaAUH23bhHFS9XhOLSrFKmwjBLLCja-gR24cMj8STGHW9Vj_vYk4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=r86wr8n6ps0000001730660249903,Flipkart,3.31,16,,743.88,4489.0
ASUS,S3402ZA-LY522WS,S3402ZA-LY522WS,Intel,Core i5,SSD,512,Windows 11 Home,,1920 x 1200 Pixel,4.3,,Yes,2024-11-04 16:37:25,https://www.flipkart.com/asus-vivobook-s-14-intel-evo-h-series-core-i5-12th-gen-12500h-8-gb-512-gb-ssd-windows-11-home-s3402za-ly522ws-thin-light-laptop/p/itm3158ed9290840?pid=COMGNY4VWHZKRSHT&lid=LSTCOMGNY4VWHZKRSHTLHINGA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_7_148&otracker=browse&fm=organic&iid=en_i3wQrUhaK_OGAMYL5L2cv8buLu9xD7V7RrOkaAUH23ZheytO7ztWPERDUOy1UDY49Wy-xiq_iFsaDu41TzXmfYQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=r86wr8n6ps0000001730660249903,Flipkart,3.31,8,,755.88,2140.0
