Laptop_Price,Laptop_Brand,Laptop_Colour,Laptop_Memory_GB,Laptop_Storage_GB,Laptop_Display_Size_in,Laptop_name,Laptop_Graphics,No_Of_Reviews,Rating_5,Processor_Company_Name,Storage_Type,Operating_System,Processor_Model
"$1,049.99",ASUS,Gray,16,1024,14,Zenbook,No Graphics,341,4.7,Intel,SSD,Windows11, Core Ultra - Q425MA-U71TB
$799.99,Samsung,Graphite,16,512,13.3,Galaxy Book3 360,No Graphics,224,4.7,Intel,SSD,Windows11, 13th Gen - NP730QFG-KA1US
$599.99,Acer,Blue,8,512,15.6,No Model,No Graphics,1057,4.5,AMD Ryzen,SSD,Windows11, 5 7520U - A315-24PT-R90Z
$849.99,Acer,Black,16,512,15.6,No Model,NVIDIA GeForce RTX 4060,52,4.7,Intel,SSD,Windows11, Core i7 - ANV15-51-789J
"$1,199.99",ASUS,White,24,1024,16,Zenbook,No Graphics,52,4,No Info,SSD,Windows11,No Info - UM5606WA-S16.R3651TB
$749.99,HP,Silver,8,512,14,Envy,No Graphics,204,4.7,Intel,SSD,Windows11, Core 5 - 14-es1013dx
$449.99,ASUS,Silver,16,512,16,Vivobook,No Graphics,1,5,Intel,SSD,Windows11, Core i5 - F1605ZA-AS56
$799.99,Microsoft,Sage,8,256,12.4,No Model,No Graphics,438,4.7,Intel,SSD,Windows11, Core i5 - XK1-00006
$249.00,Lenovo,Blue,16,128GeMMC,11,Chromebook,No Graphics,456,4.5,Snapdragon,eMMC,Windows11, 7cG2  - 82T6000EUS
"$1,099.99",HP,Silver,16,1024,16,Envy,No Graphics,225,4.7,AMD Ryzen,SSD,Windows11, 7 - 16-ad0023dx
"$1,149.99",GIGABYTE,Black,32,1024,16,Gaming Laptop IPS,NVIDIA GeForce RTX 4060,112,4.5,Intel,SSD,Windows11, i7 - G6 KF-H3US864KH
$299.00,ASUS,Gray,4,64eMMC,14,Chromebook,No Graphics,159,4.5,MediaTek,eMMC,Windows11, Kompanio 520 - CM1402CM2A-M8186
$179.00,Acer,Silver,4,64eMMC,15.6,Chromebook,No Graphics,941,4.5,Intel,eMMC,Windows11, Celeron N4020 - CB315-3H-C69K
$949.99,Dell,Blue,16,1024,14,Inspiron,AMD Radeon Graphics,36,4.5,AMD Ryzen,SSD,Windows11, 7 - i7445-7326BLU-PUS
$899.99,Samsung,Silver,16,512,15.6,No Model,No Graphics,173,4.6,Intel,SSD,Windows11, Core 7 - NP750XGK-KS2US
$199.99,HP,Black,4,128eMMC,14,No Model,No Graphics,468,4.2,Intel,eMMC,Windows11, Celeron  - 14-dq0761dx
"$1,149.99",Dell,Shelf,16,1024,15.6,No Model,NVIDIA GeForce RTX 4060,107,4.5,Intel,SSD,Windows11, Core i7 - G5530-7388GRY-PUS
"$1,099.99",HP,Silver,16,1024,16,Envy,No Graphics,381,4.7,Intel,SSD,Windows11, Core Ultra - 16-ac0023dx
$279.00,Acer,Gray,8,128UFS,15.6,Chromebook,No Graphics,263,4.6,Intel,UFS,Windows11, i3 - CB515-2H-31NY
$879.99,HP,Silver,16,512,14,Envy,No Graphics,247,4.7,AMD Ryzen,SSD,Windows11, 5 - 14-fa0013dx
$349.00,Lenovo,Blue,8,128eMMC,13.3,Chromebook,No Graphics,1022,4.4,Snapdragon,eMMC,Windows11, 7cG2  - 82QS001HUS
$699.99,MSI,SSD,8,1024,15.6,No Model,No Graphics,197,4.6,No Info,SSD,Windows11,No Info - Thin GF63 12UCX-898US
$199.99,HP,Silver,4,128,14,No Model,No Graphics,139,4.3,Intel,SSD,Windows11, Pentium Silver - 14-dq0703dx
$729.99,Dell,Blue,8,512,14,Inspiron,AMD Radeon Graphics,134,4.5,AMD Ryzen,SSD,Windows11, 5 - i7445-5333BLU-PUS
