Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),No_Of_Reviews,Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),RAM(GB),Display_Size(Inches),Laptop_Weight(Pounds),Laptop_Dimensions
Lenovo,"ThinkPad T14 Gen 4 14""  Laptop- Intel i5 with 16GB Memory - 256GB SSD",21HD0025US,Intel,Intel 13th Generation Core i5,SSD,Windows 11 Pro,1920 x 1200 (WUXGA),,9.5,Be the first to write a review,1479.99,yes,2024-11-02 20:53:31,https://www.bestbuy.com/site/lenovo-thinkpad-t14-gen-4-14-laptop-intel-i5-with-16gb-memory-256gb-ssd-gray/6550266.p?skuId=6550266,BestBuy,256,16,14.0,3.0,12.51 x 0.7 x 8.93 inches
Lenovo,"ThinkPad T16 Gen 3 16"" Laptop - Ultra 5 with 16GB Memory - 256GB SSD",21MN005LUS,Intel,Intel Core Ultra 5 Series 1,SSD,Windows 11 Pro,1920 x 1200 (WUXGA),,,Be the first to write a review,1519.99,yes,2024-11-02 20:53:36,https://www.bestbuy.com/site/lenovo-thinkpad-t16-gen-3-16-laptop-ultra-5-with-16gb-memory-256gb-ssd-black/6594387.p?skuId=6594387,BestBuy,256,16,16.0,4.03,0.77 x 14.16 x 9.87 inches
Apple,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i7 - 16GB Memory - 1TB SSD",GSRF MV982LL/A,Intel,Intel 8th Generation Core i7,SSD,Mac OS,2880 x 1800 (Retina),,10.0,Be the first to write a review,1099.99,yes,2024-11-02 20:53:41,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-with-touch-bar-intel-core-i7-16gb-memory-1tb-ssd-space-gray/6489613.p?skuId=6489613,BestBuy,1000,16,13.0,4.02,0.61 x 12 x 8.36 inches
MSI,"Prestige 13 Evo A12M 13.3"" Laptop - Intel Core i5 with 16GB Memory - 512 GB SSD",PRE13EVO12070,Intel,Intel 12th Generation Core i5,SSD,Windows 11 Home,1920 x 1200 (WUXGA),,,Be the first to write a review,964.99,yes,2024-11-02 20:53:46,https://www.bestbuy.com/site/msi-prestige-13-evo-a12m-13-3-laptop-intel-core-i5-with-16gb-memory-512-gb-ssd-pure-white/6547626.p?skuId=6547626,BestBuy,512,16,13.3,2.18,0.67 x 11 4/5 x 8 3/10 inches
Microsoft,"Geek Squad Certified Refurbished Surface Laptop 3 13.5"" Touch-Screen - Intel Core i5 - 8GB Memory - 256GB SSD",GSRF V4C-00022,Intel,Intel 10th Generation Core i5,SSD,Windows 10 Home,2256 x 1504,3.0,11.5,(2 Reviews),879.99,yes,2024-11-02 20:53:51,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-3-13-5-touch-screen-intel-core-i5-8gb-memory-256gb-ssd-matte-black/6463420.p?skuId=6463420,BestBuy,256,8,13.5,2.84,0.57 x 12.1 x 8.79 inches
MSI,"Raider 18 HX 18"" Gaming Laptop 3840x2400 UHD+ - Intel 14th Gen Core i9 with 128GB - NVIDIA GeForce RTX 4080 - 2TB SSD",RAIDER18HX14258,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Pro,3840 x 2400,,5.0,Be the first to write a review,3999.0,yes,2024-11-02 20:53:57,https://www.bestbuy.com/site/msi-raider-18-hx-18-gaming-laptop-3840x2400-uhd-intel-14th-gen-core-i9-with-128gb-nvidia-geforce-rtx-4080-2tb-ssd-black/6595456.p?skuId=6595456,BestBuy,2000,128,18.0,7.94,1.26 x 15.91 x 12.09 inches
Dell,"Latitude 7420 14"" Refurbished Touch-Screen Laptop - Intel 11th Gen Core i7 with 32GB Memory - 512GB SSD",7420,Intel,Intel 11th Generation Core i7,SSD,Windows 11 Pro,1920 x 1080 (Full HD),4.6,,(5 Reviews),719.99,yes,2024-11-02 20:54:01,https://www.bestbuy.com/site/dell-latitude-7420-14-refurbished-touch-screen-laptop-intel-11th-gen-core-i7-with-32gb-memory-512gb-ssd-black/6579719.p?skuId=6579719,BestBuy,512,32,14.0,2.7,
Acer,"Chromebook Spin 514 14.0"" FHD IPS Touch Display Laptop- AMD Ryzen 5 5625C Hexa-Core-8GB LPDDR4X Memory- 128GB eMMC",CP514-3HH-R6VK,AMD,AMD Ryzen 5 5000 Series,eMMC,Chrome OS,1920 x 1080 (Full HD),4.0,10.0,(1 Review),699.99,yes,2024-11-02 20:54:06,https://www.bestbuy.com/site/acer-chromebook-spin-514-14-0-fhd-ips-touch-display-laptop-amd-ryzen-5-5625c-hexa-core-8gb-lpddr4x-memory-128gb-emmc-sparkly-silver/6534574.p?skuId=6534574,BestBuy,128,8,14.0,3.31,
Apple,"Refurbished MacBook Pro - 15"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 555X - 256GB SSD",GSRF MR962LL/A,Intel,Intel 8th Generation Core i7,SSD,Mac OS,2880 x 1800 (Retina),3.8,10.0,(24 Reviews),699.99,yes,2024-11-02 20:54:11,https://www.bestbuy.com/site/apple-refurbished-macbook-pro-15-display-with-touch-bar-intel-core-i7-16gb-memory-amd-radeon-pro-555x-256gb-ssd-silver/6515453.p?skuId=6515453,BestBuy,256,16,15.4,4.02,0.61 x 13.75 x 9.48 inches
HP,"HP Zbook 15U G5 Laptop, Intel i7-8650U 1.9GHZ, 16GB RAM, 256GB SSD HD, Webcam, W10P-64 - Refurbished",15U.G5.i7.16.256,Intel,Intel 8th Generation Core i7,SSD,Windows 10 Pro,1920 x 1080 (Full HD),2.0,,(1 Review),373.99,yes,2024-11-02 20:54:16,https://www.bestbuy.com/site/hp-zbook-15u-g5-laptop-intel-i7-8650u-1-9ghz-16gb-ram-256gb-ssd-hd-webcam-w10p-64-refurbished-silver/6567241.p?skuId=6567241,BestBuy,256,16,15.6,3.9,
Lenovo,"ThinkPad E14 Gen 5 14""  Laptop- AMD Ryzen 5 with 16GB Memory- 256GB SSD",21JR0019US,AMD,AMD Ryzen 5 7000 Series,SSD,Windows 11 Pro,1920 x 1200 (WUXGA),,15.0,Be the first to write a review,829.99,yes,2024-11-02 20:54:21,https://www.bestbuy.com/site/lenovo-thinkpad-e14-gen-5-14-laptop-amd-ryzen-5-with-16gb-memory-256gb-ssd-gray/6550262.p?skuId=6550262,BestBuy,256,16,14.0,3.37,12.32 x 0.71 x 8.63 inches
HP,"ProBook 445 G11 14"" IPS 1920 x 1200 (WUXGA) Laptop - AMD Ryzen 7 with 16GB Memory - 512 GB SSD",A1RM4UT#ABA,AMD,AMD Ryzen 7 7000 Series,SSD,Windows 11 Pro,1920 x 1200 (WUXGA),4.7,,(3 Reviews on hp.com),841.99,yes,2024-11-02 20:54:26,https://www.bestbuy.com/site/hp-probook-445-g11-14-ips-1920-x-1200-wuxga-laptop-amd-ryzen-7-with-16gb-memory-512-gb-ssd-pike-silver-aluminum-gray/6601503.p?skuId=6601503,BestBuy,512,16,14.0,3.06,0.67 x 12 1/2 x 8 4/5 inches
Microsoft,GSRF Surface Laptop 5 – 15” Touch Screen – Intel Evo Platform Core i7 – 8GB Memory – 256GB SSD,GSRF RBY-00001,Intel,Intel 12th Generation Core i7 Evo Platform,SSD,Windows 11 Home,2496 x 1664,3.0,17.0,(4 Reviews),799.99,yes,2024-11-02 20:54:31,https://www.bestbuy.com/site/microsoft-gsrf-surface-laptop-5-15-touch-screen-intel-evo-platform-core-i7-8gb-memory-256gb-ssd-platinum/6561440.p?skuId=6561440,BestBuy,256,8,15.0,3.44,0.58 x 13.4 x 9.6 inches
ASUS,ROG Strix SCAR 16” 240Hz Gaming Laptop QHD - Intel Core i9-14900HX with 32GB Memory - NVIDIA GeForce RTX 4080- 1TB SSD,G634JZR-XS96,Intel,Intel Core i9 14th Generation,SSD,Windows 11 Pro,2560 x 1600,4.3,,(9 Reviews),2799.99,yes,2024-11-02 20:54:36,https://www.bestbuy.com/site/asus-rog-strix-scar-16-240hz-gaming-laptop-qhd-intel-core-i9-14900hx-with-32gb-memory-nvidia-geforce-rtx-4080-1tb-ssd-off-black/6572155.p?skuId=6572155,BestBuy,1000,32,16.0,5.84,
Dell,"Latitude 3000 14"" Laptop - Intel Core i7 with 16GB Memory - 512 GB SSD",T56PM,Intel,Intel 13th Generation Core i7,SSD,Windows 11 Pro,1920 x 1080 (Full HD),,,Be the first to write a review,1109.99,yes,2024-11-02 20:54:41,https://www.bestbuy.com/site/dell-latitude-3000-14-laptop-intel-core-i7-with-16gb-memory-512-gb-ssd-soft-charcoal-other/6585419.p?skuId=6585419,BestBuy,512,16,14.0,3.3,13 1/2 x 2 3/5 x 16 1/10 inches
HP,"850 G7 15.6"" Refurbished Laptop - Intel 10th Gen Core i5 with 16GB Memory - Intel UHD Graphics - 512GB SSD",850 G7,Intel,Intel 10th Generation Core i5,SSD,Windows 11 Pro,1920 x 1080 (Full HD),,,Be the first to write a review,719.31,yes,2024-11-02 20:54:48,https://www.bestbuy.com/site/hp-850-g7-15-6-refurbished-laptop-intel-10th-gen-core-i5-with-16gb-memory-intel-uhd-graphics-512gb-ssd-silver/6586574.p?skuId=6586574,BestBuy,512,16,15.6,3.77,
ASUS,"VivoBook Flip 14 14"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 512GB Solid State Drive",TM420UADS52T,AMD,AMD Ryzen 5 5000 Series,SSD,Windows 10 Home,1920 x 1080 (Full HD),3.7,,(6 Reviews),729.99,yes,2024-11-02 20:54:55,https://www.bestbuy.com/site/asus-vivobook-flip-14-14-touch-screen-laptop-amd-ryzen-5-8gb-memory-512gb-solid-state-drive-bespoke-black/6466919.p?skuId=6466919,BestBuy,512,8,14.0,3.31,0.72 x 12.8 x 8.66 inches
Dell,"14"" Refurbished 1920x1080 FHD - Intel 8th Gen Core i7-8665U - Intel UHD Graphics 620 with 32GB and 2TB - SSD",7400,Intel,Intel 8th Generation Core i7,SSD,Windows 11 Pro,1920 x 1080 (Full HD),4.1,,(8 Reviews),659.99,yes,2024-11-02 20:55:04,https://www.bestbuy.com/site/dell-14-refurbished-1920x1080-fhd-intel-8th-gen-core-i7-8665u-intel-uhd-graphics-620-with-32gb-and-2tb-ssd-black/6531231.p?skuId=6531231,BestBuy,2000,32,14.0,2.99,
Apple,"Geek Squad Certified Refurbished MacBook Air 15"" Laptop - M2 chip - 8GB Memory - 256GB SSD",GSRF MQKR3LL/A,Apple,Apple M2,SSD,macOS Ventura,2880 x 1864 (Retina),4.4,18.0,(7 Reviews),899.99,yes,2024-11-02 20:55:10,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-15-laptop-m2-chip-8gb-memory-256gb-ssd-silver/6568683.p?skuId=6568683,BestBuy,256,8,15.0,3.3,0.44 x 13.4 x 9.35 inches
ASUS,Zenbook DUO Dual 14” WUXGA OLED Touch Laptop - Intel Core Ultra 7 with 16GB Memory - Intel Arc Graphics - 1TB SSD,UX8406MA-DS76T,Intel,Intel Core Ultra 7 Series 1,SSD,Windows 11 Home,1920 x 1200 (WUXGA),4.3,,(8 Reviews),1499.99,yes,2024-11-02 20:55:16,https://www.bestbuy.com/site/asus-zenbook-duo-dual-14-wuxga-oled-touch-laptop-intel-core-ultra-7-with-16gb-memory-intel-arc-graphics-1tb-ssd-inkwell-gray/6580455.p?skuId=6580455,BestBuy,1000,16,14.0,3.64,0.57 x 12.34 x 8.58 inches
Apple,"Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage",GSRF MREF2LL/A,Intel,Intel 8th Generation Core i5,SSD,Mac OS,2560 x 1600 (Retina),3.8,,(31 Reviews),459.99,yes,2024-11-02 20:55:21,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-retina-display-intel-core-i5-8gb-memory-256gb-flash-storage-gold/6515452.p?skuId=6515452,BestBuy,256,8,13.3,2.75,0.61 x 12 x 8.36 inches
Dell,"7280 12.5"" Refurbished Laptop - Intel 6th Gen Core i7 with 16GB Memory - Intel Iris Xe Graphics - 256GB SSD",7280,Intel,Intel 6th Generation Core i7,SSD,Windows 10 Pro,1366 x 768 (HD),5.0,,(1 Review),310.99,No,2024-11-02 20:55:27,https://www.bestbuy.com/site/dell-7280-12-5-refurbished-laptop-intel-6th-gen-core-i7-with-16gb-memory-intel-iris-xe-graphics-256gb-ssd-black/6599190.p?skuId=6599190,BestBuy,256,16,12.5,2.61,
